id_cliente,age,transazioni_uscite,transazioni_entrate,tot_uscite,tot_entrate,n_conti_tot,n_conti_tipo0,n_conti_tipo1,n_conti_tipo2,n_conti_tipo3,n_trans_uscite_tipo0,n_trans_uscite_tipo1,n_trans_uscite_tipo2,n_trans_uscite_tipo3,n_trans_entrate_tipo0,n_trans_entrate_tipo1,n_trans_entrate_tipo2,n_trans_entrate_tipo3,tot_uscite_tipo0,tot_uscite_tipo1,tot_uscite_tipo2,tot_uscite_tipo3,tot_entrate_tipo0,tot_entrate_tipo1,tot_entrate_tipo2,tot_entrate_tipo3
0,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,57,54,7,-4742.71,536.91,1,0,0,1,0,0,0,54,0,0,0,7,0,0,0,-4742.71,0,0,0,536.91,0
2,52,103,16,-7843.07,1356.59,2,1,0,1,0,52,0,51,0,7,0,9,0,-3944.22,0,-3898.86,0,877.54,0,479.05,0
3,61,109,15,-11312.43,1484.37,2,1,1,0,0,57,52,0,0,6,9,0,0,-6120.12,-5192.31,0,0,345.62,1138.75,0,0
4,38,47,4,-4516.85,747.37,1,0,0,0,1,0,0,0,47,0,0,0,4,0,0,0,-4516.85,0,0,0,747.37
5,36,95,27,-6584.69,2255.79,2,1,0,1,0,50,0,45,0,12,0,15,0,-3495.67,0,-3089.02,0,607.55,0,1648.24,0
6,58,44,13,-3705.46,1224.71,1,0,0,1,0,0,0,44,0,0,0,13,0,0,0,-3705.46,0,0,0,1224.71,0
7,38,54,14,-5384.39,1008.78,1,0,0,1,0,0,0,54,0,0,0,14,0,0,0,-5384.39,0,0,0,1008.78,0
8,26,37,7,-2833.49,531.45,1,0,0,1,0,0,0,37,0,0,0,7,0,0,0,-2833.49,0,0,0,531.45,0
9,64,57,6,-4083.9,252.6,1,0,1,0,0,0,57,0,0,0,6,0,0,0,-4083.9,0,0,0,252.6,0,0
10,62,97,19,-7606.37,2446.57,2,1,0,0,1,58,0,0,39,10,0,0,9,-4164.83,0,0,-3441.54,688.86,0,0,1757.71
